rgn_id,year,a_prot_1km
1,2000,1447
1,2001,1458.75
1,2002,1464
1,2003,1535.25
1,2004,1595.5
1,2005,1598
1,2006,1621.5
1,2007,1645
1,2008,1647
1,2009,1655.5
1,2010,1655.5
1,2011,1655.5
1,2012,1656
1,2013,1656
1,2014,1730.25
1,2015,1730.25
1,2016,1730.25
1,2017,1730.25
1,2018,1730.25
2,2000,1447
2,2001,1458.75
2,2002,1464
2,2003,1535.25
2,2004,1595.5
2,2005,1598
2,2006,1621.5
2,2007,1645
2,2008,1647
2,2009,1655.5
2,2010,1655.5
2,2011,1655.5
2,2012,1656
2,2013,1656
2,2014,1730.25
2,2015,1730.25
2,2016,1730.25
2,2017,1730.25
2,2018,1730.25
3,2000,1447
3,2001,1458.75
3,2002,1464
3,2003,1535.25
3,2004,1595.5
3,2005,1598
3,2006,1621.5
3,2007,1645
3,2008,1647
3,2009,1655.5
3,2010,1655.5
3,2011,1655.5
3,2012,1656
3,2013,1656
3,2014,1730.25
3,2015,1730.25
3,2016,1730.25
3,2017,1730.25
3,2018,1730.25
4,2000,1447
4,2001,1458.75
4,2002,1464
4,2003,1535.25
4,2004,1595.5
4,2005,1598
4,2006,1621.5
4,2007,1645
4,2008,1647
4,2009,1655.5
4,2010,1655.5
4,2011,1655.5
4,2012,1656
4,2013,1656
4,2014,1730.25
4,2015,1730.25
4,2016,1730.25
4,2017,1730.25
4,2018,1730.25
5,2000,1447
5,2001,1458.75
5,2002,1464
5,2003,1535.25
5,2004,1595.5
5,2005,1598
5,2006,1621.5
5,2007,1645
5,2008,1647
5,2009,1655.5
5,2010,1655.5
5,2011,1655.5
5,2012,1656
5,2013,1656
5,2014,1730.25
5,2015,1730.25
5,2016,1730.25
5,2017,1730.25
5,2018,1730.25
6,2000,1447
6,2001,1458.75
6,2002,1464
6,2003,1535.25
6,2004,1595.5
6,2005,1598
6,2006,1621.5
6,2007,1645
6,2008,1647
6,2009,1655.5
6,2010,1655.5
6,2011,1655.5
6,2012,1656
6,2013,1656
6,2014,1730.25
6,2015,1730.25
6,2016,1730.25
6,2017,1730.25
6,2018,1730.25
7,2000,1447
7,2001,1458.75
7,2002,1464
7,2003,1535.25
7,2004,1595.5
7,2005,1598
7,2006,1621.5
7,2007,1645
7,2008,1647
7,2009,1655.5
7,2010,1655.5
7,2011,1655.5
7,2012,1656
7,2013,1656
7,2014,1730.25
7,2015,1730.25
7,2016,1730.25
7,2017,1730.25
7,2018,1730.25
