rgn_id,year,a_prot_3nm
1,2000,3936
1,2001,3969.75
1,2002,3977.75
1,2003,4181.5
1,2004,4355.5
1,2005,4356.75
1,2006,4444.25
1,2007,4556.75
1,2008,4556.75
1,2009,4603
1,2010,4603
1,2011,4603
1,2012,4603
1,2013,4603
1,2014,11435.5
1,2015,11435.5
1,2016,11435.5
1,2017,11435.5
1,2018,11435.5
2,2000,3936
2,2001,3969.75
2,2002,3977.75
2,2003,4181.5
2,2004,4355.5
2,2005,4356.75
2,2006,4444.25
2,2007,4556.75
2,2008,4556.75
2,2009,4603
2,2010,4603
2,2011,4603
2,2012,4603
2,2013,4603
2,2014,11435.5
2,2015,11435.5
2,2016,11435.5
2,2017,11435.5
2,2018,11435.5
3,2000,3936
3,2001,3969.75
3,2002,3977.75
3,2003,4181.5
3,2004,4355.5
3,2005,4356.75
3,2006,4444.25
3,2007,4556.75
3,2008,4556.75
3,2009,4603
3,2010,4603
3,2011,4603
3,2012,4603
3,2013,4603
3,2014,11435.5
3,2015,11435.5
3,2016,11435.5
3,2017,11435.5
3,2018,11435.5
4,2000,3936
4,2001,3969.75
4,2002,3977.75
4,2003,4181.5
4,2004,4355.5
4,2005,4356.75
4,2006,4444.25
4,2007,4556.75
4,2008,4556.75
4,2009,4603
4,2010,4603
4,2011,4603
4,2012,4603
4,2013,4603
4,2014,11435.5
4,2015,11435.5
4,2016,11435.5
4,2017,11435.5
4,2018,11435.5
5,2000,3936
5,2001,3969.75
5,2002,3977.75
5,2003,4181.5
5,2004,4355.5
5,2005,4356.75
5,2006,4444.25
5,2007,4556.75
5,2008,4556.75
5,2009,4603
5,2010,4603
5,2011,4603
5,2012,4603
5,2013,4603
5,2014,11435.5
5,2015,11435.5
5,2016,11435.5
5,2017,11435.5
5,2018,11435.5
6,2000,3936
6,2001,3969.75
6,2002,3977.75
6,2003,4181.5
6,2004,4355.5
6,2005,4356.75
6,2006,4444.25
6,2007,4556.75
6,2008,4556.75
6,2009,4603
6,2010,4603
6,2011,4603
6,2012,4603
6,2013,4603
6,2014,11435.5
6,2015,11435.5
6,2016,11435.5
6,2017,11435.5
6,2018,11435.5
7,2000,3936
7,2001,3969.75
7,2002,3977.75
7,2003,4181.5
7,2004,4355.5
7,2005,4356.75
7,2006,4444.25
7,2007,4556.75
7,2008,4556.75
7,2009,4603
7,2010,4603
7,2011,4603
7,2012,4603
7,2013,4603
7,2014,11435.5
7,2015,11435.5
7,2016,11435.5
7,2017,11435.5
7,2018,11435.5
